"region","date","cases","cumulative_cases"
"AB","2020-03-05",1,1
"AB","2020-03-06",0,1
"AB","2020-03-07",1,2
"AB","2020-03-08",1,3
"AB","2020-03-09",4,7
"AB","2020-03-10",9,16
"AB","2020-03-11",7,23
"AB","2020-03-12",3,26
"AB","2020-03-13",8,34
"AB","2020-03-14",22,56
"AB","2020-03-15",11,67
"AB","2020-03-16",24,91
"AB","2020-03-17",11,102
"AB","2020-03-18",29,131
"AB","2020-03-19",32,163
"AB","2020-03-20",46,209
"AB","2020-03-21",35,244
"AB","2020-03-22",47,291
"AB","2020-03-23",52,343
"AB","2020-03-24",68,411
"AB","2020-03-25",63,474
"AB","2020-03-26",53,527
"AB","2020-03-27",85,612
"AB","2020-03-28",54,666
"AB","2020-03-29",34,700
"AB","2020-03-30",40,740
"AB","2020-03-31",132,872
"AB","2020-04-01",108,980
"AB","2020-04-02",122,1102
"AB","2020-04-03",70,1172
"AB","2020-04-04",60,1232
"AB","2020-04-05",42,1274
"AB","2020-04-06",34,1308
"AB","2020-04-07",53,1361
"AB","2020-04-08",33,1394
"AB","2020-04-09",45,1439
"AB","2020-04-10",49,1488
"AB","2020-04-11",65,1553
"AB","2020-04-12",68,1621
"AB","2020-04-13",68,1689
"AB","2020-04-14",127,1816
"AB","2020-04-15",133,1949
"AB","2020-04-16",146,2095
"AB","2020-04-17",213,2308
"AB","2020-04-18",187,2495
"AB","2020-04-19",201,2696
"AB","2020-04-20",183,2879
"AB","2020-04-21",264,3143
"AB","2020-04-22",294,3437
"AB","2020-04-23",340,3777
"AB","2020-04-24",232,4009
"AB","2020-04-25",222,4231
"AB","2020-04-26",203,4434
"AB","2020-04-27",178,4612
"AB","2020-04-28",249,4861
"AB","2020-04-29",231,5092
"AB","2020-04-30",222,5314
"AB","2020-05-01",141,5455
"AB","2020-05-02",112,5567
"AB","2020-05-03",70,5637
"AB","2020-05-04",79,5716
"AB","2020-05-05",62,5778
"AB","2020-05-06",65,5843
"AB","2020-05-07",87,5930
"AB","2020-05-08",77,6007
"AB","2020-05-09",85,6092
"AB","2020-05-10",71,6163
